epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,475.628,2.07968,1.65606,0.99961,0.53366,0.57233,0.45646,0.16608,2.64315,1.97132,0.95481,0.0002426,0.0002426,0.0002426
158,478.318,2.07435,1.69452,0.99379,0.53253,0.56981,0.44081,0.16855,2.63792,1.99184,0.95093,0.00024095,0.00024095,0.00024095
159,480.889,2.02606,1.65429,0.98024,0.51553,0.57692,0.41121,0.15502,2.60007,2.03333,0.95079,0.0002393,0.0002393,0.0002393
160,483.712,2.15159,1.69013,1.05603,0.51235,0.57692,0.39731,0.15364,2.58879,2.01888,0.94884,0.00023765,0.00023765,0.00023765
161,486.257,2.08982,1.69517,1.04583,0.52088,0.57692,0.40532,0.15853,2.57805,1.9881,0.94744,0.000236,0.000236,0.000236
162,488.742,2.14161,1.77179,1.02156,0.50244,0.57692,0.40002,0.15444,2.57187,1.97201,0.94698,0.00023435,0.00023435,0.00023435
163,491.277,2.08697,1.77452,1.00493,0.52329,0.57692,0.4044,0.15782,2.5599,1.95249,0.94544,0.0002327,0.0002327,0.0002327
164,494.066,2.16858,1.69777,0.99181,0.5258,0.57692,0.42958,0.17387,2.54847,1.91044,0.94301,0.00023105,0.00023105,0.00023105
165,496.906,2.0241,1.62069,0.97516,0.54828,0.57692,0.43517,0.17302,2.52354,1.89385,0.94221,0.0002294,0.0002294,0.0002294
166,499.476,2.00605,1.52204,0.97601,0.55878,0.57692,0.43877,0.17668,2.52264,1.87722,0.93935,0.00022775,0.00022775,0.00022775
167,502.003,2.13981,1.76375,0.98141,0.57683,0.57671,0.46676,0.18626,2.52983,1.8543,0.93994,0.0002261,0.0002261,0.0002261
168,504.764,2.13292,1.68157,1.01616,0.57072,0.57692,0.48941,0.19097,2.52276,1.8147,0.94133,0.00022445,0.00022445,0.00022445
169,507.356,2.03004,1.62978,0.99196,0.56318,0.57692,0.48475,0.19139,2.52362,1.81671,0.94131,0.0002228,0.0002228,0.0002228
170,510.389,2.11515,1.57241,0.97536,0.5651,0.57692,0.48151,0.17953,2.5277,1.81145,0.94329,0.00022115,0.00022115,0.00022115
171,513.249,2.21567,1.73007,1.04325,0.61247,0.61538,0.51826,0.18211,2.5359,1.83827,0.94536,0.0002195,0.0002195,0.0002195
172,516.078,1.9855,1.6135,1.00797,0.58,0.61538,0.50807,0.17453,2.53857,1.87581,0.94368,0.00021785,0.00021785,0.00021785
173,518.589,2.03034,1.65364,0.96967,0.55676,0.61538,0.49183,0.16837,2.53779,1.89903,0.94472,0.0002162,0.0002162,0.0002162
174,521.419,2.01299,1.58224,1.01397,0.55482,0.61538,0.49901,0.1647,2.54643,1.92351,0.94713,0.00021455,0.00021455,0.00021455
175,523.983,2.04503,1.75329,0.98018,0.55536,0.61538,0.50166,0.16518,2.55385,1.90806,0.94977,0.0002129,0.0002129,0.0002129
176,526.616,2.18561,1.70863,1.03956,0.51613,0.57692,0.4599,0.15393,2.58882,1.93863,0.95335,0.00021125,0.00021125,0.00021125
177,529.411,2.03096,1.52895,1.01011,0.47749,0.53846,0.43477,0.15594,2.60866,1.97552,0.95705,0.0002096,0.0002096,0.0002096
178,532.206,1.99215,1.68196,0.99728,0.47962,0.53846,0.44065,0.15855,2.61732,2.02276,0.95987,0.00020795,0.00020795,0.00020795
